absT V_n V_R_n V_C_n
0,000 175,000 0,000 175,000
0,010 175,000 0,070 175,000
0,020 175,000 0,141 175,000
0,030 175,000 0,211 175,000
0,040 175,000 0,281 175,000
0,050 175,000 0,351 175,000
0,060 175,001 0,422 175,000
0,070 175,001 0,492 175,000
0,080 175,001 0,562 175,000
0,090 175,001 0,633 175,000
0,100 175,001 0,703 175,000
0,110 175,002 0,773 175,000
0,120 175,002 0,844 175,000
0,130 175,002 0,914 175,000
0,140 175,003 0,985 175,000
0,150 175,003 1,055 175,000
0,160 175,004 1,126 175,000
0,170 175,004 1,196 175,000
0,180 175,005 1,267 175,000
0,190 175,005 1,337 175,000
0,200 175,006 1,408 175,000
0,210 175,006 1,478 175,000
0,220 175,007 1,549 175,000
0,230 175,007 1,619 175,000
0,240 175,008 1,690 175,000
0,250 175,009 1,760 175,000
0,260 175,010 1,831 175,000
0,270 175,010 1,902 175,000
0,280 175,011 1,972 175,000
0,290 175,012 2,043 175,000
0,300 175,013 2,114 175,000
0,310 175,014 2,184 175,000
0,320 175,015 2,255 175,000
0,330 175,015 2,326 175,000
0,340 175,016 2,396 175,000
0,350 175,017 2,467 175,000
0,360 175,018 2,538 175,000
0,370 175,019 2,609 175,000
0,380 175,021 2,679 175,000
0,390 175,022 2,750 175,000
0,400 175,023 2,821 175,000
0,410 175,024 2,892 175,000
0,420 175,025 2,963 175,000
0,430 175,026 3,033 175,000
0,440 175,028 3,104 175,000
0,450 175,029 3,175 175,000
0,460 175,030 3,246 175,000
0,470 175,031 3,317 175,000
0,480 175,033 3,388 175,000
0,490 175,034 3,459 175,000
0,500 175,036 3,530 175,000
0,510 175,037 3,601 175,000
0,520 175,039 3,672 175,000
0,530 175,040 3,743 175,000
0,540 175,042 3,814 175,000
0,550 175,043 3,885 175,000
0,560 175,045 3,956 175,000
0,570 175,046 4,027 175,000
0,580 175,048 4,098 175,000
0,590 175,050 4,169 175,000
0,600 175,051 4,240 175,000
0,610 175,053 4,311 175,000
0,620 175,055 4,382 175,000
0,630 175,057 4,453 175,000
0,640 175,058 4,524 175,000
0,650 175,060 4,595 175,000
0,660 175,062 4,667 175,000
0,670 175,064 4,738 175,000
0,680 175,066 4,809 175,000
0,690 175,068 4,880 175,000
0,700 175,070 4,951 175,000
0,710 175,072 5,023 175,000
0,720 175,074 5,094 175,000
0,730 175,076 5,165 175,000
0,740 175,078 5,236 175,000
0,750 175,080 5,308 175,000
0,760 175,083 5,379 175,000
0,770 175,085 5,450 175,000
0,780 175,087 5,522 175,000
0,790 175,089 5,593 175,000
0,800 175,092 5,664 175,000
0,810 175,094 5,736 175,000
0,820 175,096 5,807 175,000
0,830 175,099 5,879 175,000
0,840 175,101 5,950 175,000
0,850 175,104 6,021 175,000
0,860 175,106 6,093 175,000
0,870 175,109 6,164 175,000
